char01,char02,char03,char04,char05,char06,char07,char08,Valid
r,s,p,q,k,e, , ,invalid
a,f,a, , , , , ,invalid
o,p,q,o,t, , , ,invalid
n,u,t,t,i,e,r, ,valid
g,p,j,g,w,o, , ,invalid
v,n,m,r,r,d,o, ,invalid
f,o,r,e,a,r,m,s,valid
f,g,h, , , , , ,invalid
x,n,y,j, , , , ,invalid
m,i,s,f,i,r,e,s,valid
o,b,v,n,l,i,h, ,invalid
a,m,a,v,p,k, , ,invalid
w,h,y,a,u,r, , ,invalid
w,j,f,e,r,n, , ,invalid
b,x,x,v,i,l, , ,invalid
p,i,x,m,c, , , ,invalid
j,l,r,m,u, , , ,invalid
d,f,k,o,f,o,h, ,invalid
k,v,k,w,f, , , ,invalid
c,r,u,h,j,l, , ,invalid
r,e,c,a,p,s, , ,valid
r,d,v,w,i, , , ,invalid
y,l,a,h,k, , , ,invalid
n,q,j,c, , , , ,invalid
x,g,x,c,r, , , ,invalid
q,k,d,a,f,n, , ,invalid
n,w,k,b,g,y,l, ,invalid
u,t,o,j,x,y,j, ,invalid
t,a,l,l,e,r, , ,valid
v,a,h,q, , , , ,invalid
l,o,o,s,e, , , ,valid
q,u,t,n,e, , , ,invalid
j,t,t,k,n,d, , ,invalid
d,e,b,s, , , , ,valid
f,a,d, , , , , ,invalid
i,q,h,w,g, , , ,invalid
y,f,w,g,u,j, , ,invalid
y,y,l,r,q,k,y, ,invalid
a,n,k,l,e,s, , ,valid
a,y,c,y,n,a,d, ,invalid
g,h,t,a, , , , ,invalid
d,j,x,w, , , , ,invalid
i,n,i, , , , , ,invalid
a,b,j, , , , , ,invalid
y,g,d,a,h, , , ,invalid
t,t,k,q,s,f,n, ,invalid
j,x,c,n,x,l, , ,invalid
y,t,w,j,y,i,t, ,invalid
e,f,y,c,b, , , ,invalid
m,q,t,h,o, , , ,invalid
x,g,m,r,p,q, , ,invalid
s,t,l,d,h, , , ,invalid
y,p,t,c,f, , , ,invalid
t,a,c,i,t,l,y, ,valid
k,e,e,h,s,s, , ,invalid
x,p,j, , , , , ,invalid
q,u,a,c,k,e,r,y,valid
s,p,r,a,y,i,n,g,valid
u,n,f,r,o,c,k,s,valid
a,d,d,e,n,d, , ,valid
b,e,n,e,f,i,c,e,valid
i,j,b,g,o, , , ,invalid
p,l,e,a,d,i,n,g,valid
w,a,d,d,i,n,g, ,valid
e,i,j,b,w, , , ,invalid
q,u,a,r,t,o, , ,valid
b,t,m,u,f, , , ,invalid
k,b,i, , , , , ,invalid
j,u,r,g,i,r, , ,invalid
e,m,e,r,a,l,d, ,valid
o,l,l,v,a, , , ,invalid
s,t,r,a,n,d, , ,valid
s,a,t,a, , , , ,invalid
e,o,i,s, , , , ,invalid
d,b,p,r,n,l,j, ,invalid
n,v,d,j,f,f,q, ,invalid
m,x,o,v, , , , ,invalid
h,e,w,e,r, , , ,valid
x,n,s,c,f,f, , ,invalid
p,u,t,t,e,d, , ,valid
v,i,t,a,l,l,y, ,valid
j,a,b,o,t,s, , ,valid
s,d,o,i, , , , ,invalid
s,j,e,p, , , , ,invalid
i,i,t,e,r,n,c, ,invalid
s,i,p,h,o,n,s, ,valid
l,p,y,r, , , , ,invalid
y,j,n,m, , , , ,invalid
l,a,v,a, , , , ,valid
m,i,s,c,u,e,d, ,valid
r,h,h,b,t, , , ,invalid
v,l,e, , , , , ,invalid
c,o,o,i,n,g, , ,valid
w,c,d,n,g,o, , ,invalid
l,r,l, , , , , ,invalid
c,l,e,a,r,e,d, ,valid
b,g,o, , , , , ,invalid
f,i,f,e, , , , ,valid
h,a,p,p,i,e,s,t,valid
e,y,c,r,n,d, , ,invalid
g,r,a,d,e,d, , ,valid
y,e,l,l,i,n,g, ,valid
f,c,q,u,d,s, , ,invalid
r,f,o,u,x,s,c, ,invalid
w,g,n,e, , , , ,invalid
y,y,e,x, , , , ,invalid
x,y,y,u,y,j, , ,invalid
j,a,m,l, , , , ,invalid
p,c,a, , , , , ,invalid
w,t,a,l, , , , ,invalid
s,w,e,a,t,e,r,s,valid
n,e,a,r,e,d, , ,valid
s,w,t,v,r,t, , ,invalid
j,f,y,x,d,w, , ,invalid
a,i,q,s,l,b,x, ,invalid
q,f,u,m, , , , ,invalid
g,k,d,j, , , , ,invalid
t,u,m,m,i,e,s, ,valid
u,a,y,h,o,u, , ,invalid
b,a,n,n,e,r, , ,valid
m,a,r,a,u,d,e,r,valid
i,s,h,v,m,v,d, ,invalid
o,b,l,i,g,a,t,e,valid
c,a,r,r,i,e,r,s,valid
i,n,k,e,d, , , ,valid
c,o,p,e,c,k,s, ,valid
f,q,a, , , , , ,invalid
b,l,x,f,u,x,v, ,invalid
a,l,o,a,r,d, , ,invalid
s,n,e, , , , , ,invalid
p,s,b,o,t, , , ,invalid
o,u,t,s,k,i,r,t,valid
r,v,k, , , , , ,invalid
y,l,e,e,h,u, , ,invalid
p,d,y,e, , , , ,invalid
b,a,r,o,n,i,a,l,valid
p,r,o,g,r,a,m,s,valid
j,o,h,n, , , , ,valid
o,t,q, , , , , ,invalid
u,g,h,l,b,k, , ,invalid
y,e,o,m,e,n, , ,valid
q,u,a,r,r,y, , ,valid
v,r,u,s,o,n,c, ,invalid
d,i,s,c, , , , ,valid
k,q,g,l, , , , ,invalid
p,i,q,n,x,k, , ,invalid
j,o,i,s,t,s, , ,valid
s,w,e,e,p,e,r, ,valid
k,a,u, , , , , ,valid
h,g,i,h,c, , , ,invalid
w,b,c,s,e,u, , ,invalid
a,a,t,y,g,q,r, ,invalid
s,u,m,m,n,p,n, ,invalid
c,l,o,w,n, , , ,valid
d,e,l,a,y, , , ,valid
y,u,m,d,k, , , ,invalid
m,o,r,a,l,l,y, ,valid
b,o,i, , , , , ,invalid
s,e,m,i,n,a,r, ,valid
s,s,h,k, , , , ,invalid
k,p,w,d,i,c, , ,invalid
m,o,v,e,m,e,n,t,valid
s,a,l,v,o,s, , ,valid
i,j,r,y, , , , ,invalid
t,i,d,e,d, , , ,valid
s,h,i,n,n,e,d, ,valid
t,u,l, , , , , ,invalid
f,t,k,j,j,b, , ,invalid
x,i,n, , , , , ,invalid
d,o,n,n,i,n,g, ,valid
o,l,o,m,i, , , ,invalid
g,k,r,p,u,y,t, ,invalid
p,a,v,e,s, , , ,valid
b,e,r,v,f,t, , ,invalid
g,r,a,n,n,y, , ,valid
l,h,y,x,b,v, , ,invalid
r,e,c,o,p,i,e,s,valid
o,i,g, , , , , ,invalid
d,b,u,n,k,q, , ,invalid
g,n,x, , , , , ,invalid
f,s,j,t,p,u, , ,invalid
f,f,d,h,f,g, , ,invalid
c,b,d, , , , , ,invalid
i,n,f,i,x, , , ,valid
