char01,char02,char03,char04,char05,char06,char07,char08,prediction
h,o,o,d,o,o,e,d,valid
l,x,o,*,*,*,*,*,invalid
h,o,l,d,u,p,*,*,valid
j,s,i,i,i,*,*,*,invalid
a,j,v,f,v,i,*,*,invalid
c,b,e,j,o,r,r,*,invalid
m,q,q,*,*,*,*,*,invalid
c,h,r,o,m,e,*,*,valid
l,h,p,*,*,*,*,*,invalid
x,k,h,s,x,g,p,*,invalid
j,v,k,l,x,p,n,*,invalid
c,o,l,i,s,e,u,m,valid
k,f,q,c,*,*,*,*,invalid
u,f,r,v,w,f,*,*,invalid
j,a,u,n,t,y,*,*,valid
o,l,c,p,r,l,g,*,invalid
r,e,g,e,n,t,*,*,valid
i,g,i,f,k,u,*,*,invalid
n,f,w,r,o,j,h,*,invalid
n,k,e,j,*,*,*,*,invalid
n,a,d,c,h,e,h,*,invalid
m,n,e,v,l,g,t,*,invalid
m,n,j,i,o,*,*,*,invalid
l,d,e,r,m,l,*,*,invalid
s,r,w,u,j,v,y,*,invalid
c,a,k,e,*,*,*,*,valid
p,r,o,v,i,d,e,d,valid
v,a,w,n,h,j,*,*,invalid
u,x,p,n,t,h,k,*,invalid
t,o,a,d,i,e,s,*,valid
s,w,i,e,j,m,*,*,invalid
l,f,c,a,a,*,*,*,invalid
n,a,s,t,i,l,y,*,valid
k,h,k,*,*,*,*,*,invalid
f,d,m,s,u,y,*,*,invalid
h,h,r,q,*,*,*,*,invalid
r,w,m,p,v,h,*,*,invalid
q,u,d,*,*,*,*,*,invalid
l,i,s,p,e,d,*,*,valid
v,s,t,s,*,*,*,*,invalid
w,o,n,t,e,d,*,*,valid
w,h,h,k,a,k,i,*,invalid
x,a,c,d,v,o,w,*,invalid
h,i,j,a,c,k,e,r,valid
m,o,n,i,c,k,e,r,valid
d,e,t,r,a,c,t,*,valid
a,q,a,*,*,*,*,*,invalid
u,y,k,*,*,*,*,*,invalid
y,t,h,m,b,v,f,*,invalid
r,j,b,b,b,r,p,*,invalid
c,n,p,r,j,*,*,*,invalid
h,s,k,o,q,u,*,*,invalid
x,a,a,c,u,*,*,*,invalid
y,u,n,w,s,*,*,*,invalid
v,d,m,f,s,*,*,*,invalid
p,o,l,e,m,i,c,*,valid
o,v,e,r,l,a,i,n,valid
e,o,t,c,s,*,*,*,invalid
w,h,i,l,s,t,*,*,valid
s,h,u,h,t,u,d,*,invalid
t,o,o,i,*,*,*,*,valid
c,x,i,h,w,*,*,*,invalid
h,p,j,q,c,g,g,*,invalid
t,o,n,i,e,r,*,*,valid
c,d,g,r,h,h,k,*,invalid
m,o,i,s,t,l,y,*,valid
h,v,q,v,*,*,*,*,invalid
q,e,h,c,w,*,*,*,invalid
a,i,r,g,*,*,*,*,invalid
f,w,t,x,c,v,*,*,invalid
g,r,e,e,t,i,n,g,valid
s,i,m,s,*,*,*,*,valid
p,n,b,y,w,f,r,*,invalid
p,m,g,*,*,*,*,*,invalid
c,t,e,r,h,i,f,*,invalid
e,y,a,h,*,*,*,*,invalid
g,r,a,c,i,o,u,s,valid
q,s,a,d,*,*,*,*,invalid
c,f,r,m,d,*,*,*,invalid
j,m,s,f,o,*,*,*,invalid
b,t,e,q,e,l,*,*,invalid
j,e,j,a,h,d,*,*,invalid
s,a,n,d,m,a,n,*,valid
e,g,o,i,s,t,*,*,valid
a,n,c,h,o,v,y,*,valid
q,o,y,*,*,*,*,*,invalid
s,n,o,o,k,e,r,*,valid
f,v,q,s,a,v,k,*,invalid
o,p,t,i,m,i,s,t,valid
e,p,t,*,*,*,*,*,invalid
c,q,q,p,e,*,*,*,invalid
s,o,m,w,t,j,*,*,invalid
m,a,x,e,d,*,*,*,valid
o,p,k,a,*,*,*,*,invalid
o,w,h,o,*,*,*,*,invalid
s,l,e,d,g,i,n,g,valid
j,u,l,i,e,n,n,e,valid
r,f,d,r,c,h,*,*,invalid
j,d,o,c,*,*,*,*,invalid
y,f,p,s,n,*,*,*,invalid
i,m,a,m,s,*,*,*,valid
r,u,s,u,*,*,*,*,invalid
f,o,n,d,u,*,*,*,valid
c,a,m,e,*,*,*,*,valid
f,s,v,*,*,*,*,*,invalid
j,u,g,*,*,*,*,*,invalid
i,w,t,e,r,y,m,*,invalid
e,p,d,v,x,p,n,*,invalid
b,k,j,g,f,*,*,*,invalid
f,o,r,c,e,s,*,*,valid
r,w,s,j,*,*,*,*,invalid
c,a,c,a,o,s,*,*,valid
j,j,d,i,u,o,*,*,invalid
w,i,c,k,*,*,*,*,valid
t,t,r,*,*,*,*,*,invalid
d,a,g,g,e,r,*,*,valid
c,i,p,j,h,r,p,*,invalid
s,h,o,u,l,d,*,*,valid
h,o,m,e,y,*,*,*,valid
f,a,c,l,m,*,*,*,invalid
j,d,c,i,j,m,b,*,invalid
m,q,v,k,*,*,*,*,invalid
y,t,u,s,a,*,*,*,invalid
b,a,i,t,*,*,*,*,valid
s,a,s,i,j,k,u,*,invalid
u,e,q,b,v,*,*,*,invalid
s,p,e,c,t,r,u,m,valid
m,b,n,v,m,n,*,*,invalid
c,h,e,e,k,y,*,*,valid
n,o,r,d,s,l,p,*,invalid
e,x,v,*,*,*,*,*,invalid
y,f,k,u,s,*,*,*,invalid
u,n,w,e,l,l,*,*,valid
j,r,l,f,a,*,*,*,invalid
m,e,n,a,g,e,*,*,valid
p,r,s,o,w,*,*,*,invalid
i,b,x,s,*,*,*,*,invalid
l,k,i,*,*,*,*,*,invalid
f,v,d,*,*,*,*,*,invalid
p,l,e,d,g,e,d,*,valid
i,a,x,i,t,d,*,*,invalid
i,l,t,*,*,*,*,*,invalid
l,v,j,*,*,*,*,*,invalid
g,u,w,o,o,k,n,*,invalid
o,x,c,a,*,*,*,*,invalid
u,y,q,x,x,*,*,*,invalid
s,w,a,e,*,*,*,*,invalid
j,r,t,s,p,*,*,*,invalid
c,i,v,e,t,s,*,*,valid
w,s,d,y,*,*,*,*,invalid
y,v,o,a,e,*,*,*,invalid
x,s,x,*,*,*,*,*,invalid
w,r,k,s,s,*,*,*,invalid
v,i,t,a,l,i,t,y,valid
i,d,q,q,i,*,*,*,invalid
x,j,j,l,*,*,*,*,invalid
p,o,d,d,i,n,g,*,valid
r,i,l,l,*,*,*,*,valid
p,a,s,s,e,s,*,*,valid
d,h,a,l,r,*,*,*,invalid
w,o,b,b,l,e,*,*,valid
m,c,l,m,i,k,*,*,invalid
f,l,a,s,h,e,r,*,valid
f,y,j,l,*,*,*,*,invalid
c,h,i,n,n,i,n,g,valid
o,o,g,n,*,*,*,*,invalid
p,y,i,*,*,*,*,*,invalid
a,d,a,p,t,e,r,*,valid
r,a,t,i,n,g,*,*,valid
s,p,a,n,k,e,d,*,valid
p,m,x,x,*,*,*,*,invalid
e,w,f,n,s,*,*,*,invalid
i,f,d,a,p,e,*,*,invalid
h,g,i,j,g,*,*,*,invalid
c,o,y,e,r,f,*,*,invalid
o,d,m,*,*,*,*,*,invalid
h,l,h,s,*,*,*,*,invalid
h,w,a,*,*,*,*,*,invalid
f,u,l,l,n,e,s,s,valid
c,d,r,p,e,f,*,*,invalid
k,t,i,g,r,*,*,*,invalid
u,r,f,e,*,*,*,*,invalid
g,w,v,l,*,*,*,*,invalid
a,p,n,n,r,f,*,*,invalid
d,w,n,*,*,*,*,*,invalid
f,m,b,b,v,a,q,*,invalid
s,l,u,m,*,*,*,*,valid
b,h,a,*,*,*,*,*,invalid
s,i,c,k,l,i,e,r,valid
v,i,k,l,j,*,*,*,invalid
k,c,b,j,e,*,*,*,invalid
s,t,a,s,h,i,n,g,valid
s,j,s,t,*,*,*,*,invalid
a,f,u,y,a,*,*,*,invalid
x,t,b,b,x,*,*,*,invalid
x,v,b,*,*,*,*,*,invalid
t,e,a,m,s,*,*,*,valid
n,e,w,c,o,m,e,r,valid
j,y,f,*,*,*,*,*,invalid
t,m,x,c,*,*,*,*,invalid
k,x,v,*,*,*,*,*,invalid
p,l,a,q,u,e,s,*,valid
s,p,a,r,s,e,*,*,valid
g,e,p,u,c,k,m,*,invalid
q,w,f,c,k,w,*,*,invalid
m,j,o,b,k,b,p,*,invalid
e,m,e,r,a,l,d,s,valid
n,i,d,t,*,*,*,*,invalid
n,d,y,d,d,*,*,*,invalid
s,k,m,*,*,*,*,*,invalid
s,h,e,l,l,a,c,s,valid
h,i,g,h,e,r,*,*,valid
c,c,n,r,w,o,*,*,invalid
i,h,e,n,f,o,*,*,invalid
p,l,i,n,t,h,s,*,valid
n,d,c,o,i,*,*,*,invalid
i,f,j,a,t,k,o,*,invalid
x,n,t,j,i,t,*,*,invalid
c,h,a,r,m,s,*,*,valid
s,t,a,f,f,*,*,*,valid
s,c,a,l,p,e,r,s,valid
t,u,b,u,l,a,r,*,valid
f,s,q,h,u,d,*,*,invalid
d,i,r,s,e,n,*,*,invalid
v,a,s,t,e,s,t,*,valid
s,k,i,v,v,y,*,*,valid
s,p,a,r,k,l,e,d,valid
d,r,o,u,g,h,t,s,valid
d,e,u,x,q,n,u,*,invalid
f,l,t,b,*,*,*,*,invalid
v,i,g,y,j,t,q,*,invalid
r,w,u,w,*,*,*,*,invalid
f,j,f,*,*,*,*,*,invalid
l,x,k,m,*,*,*,*,invalid
f,k,b,s,g,*,*,*,invalid
k,m,j,s,x,b,*,*,invalid
o,j,m,*,*,*,*,*,invalid
j,p,t,g,*,*,*,*,invalid
s,u,l,k,y,*,*,*,valid
c,o,b,b,l,e,r,*,valid
l,m,r,v,p,*,*,*,invalid
b,b,v,*,*,*,*,*,invalid
b,g,v,*,*,*,*,*,invalid
d,i,s,l,i,k,e,s,valid
o,d,t,*,*,*,*,*,invalid
w,w,n,y,m,d,b,*,invalid
h,d,d,v,n,o,*,*,invalid
a,d,d,e,d,*,*,*,valid
m,d,w,t,*,*,*,*,invalid
h,a,n,d,r,a,i,l,valid
o,i,x,j,i,*,*,*,invalid
t,i,p,p,l,e,r,s,valid
g,u,z,z,l,e,r,*,valid
e,v,j,s,l,*,*,*,invalid
s,o,r,r,o,w,s,*,valid
f,l,a,t,t,e,n,*,valid
c,o,j,e,r,v,*,*,invalid
u,t,g,c,k,y,*,*,invalid
j,b,s,d,l,*,*,*,invalid
p,l,u,s,h,e,s,t,valid
f,u,v,s,*,*,*,*,invalid
e,t,w,*,*,*,*,*,invalid
p,e,q,a,m,u,y,*,invalid
l,i,b,i,d,o,s,*,valid
u,n,w,o,u,n,d,*,valid
s,p,i,r,i,t,*,*,valid
r,j,a,b,h,p,k,*,invalid
b,l,i,n,k,e,d,*,valid
d,d,m,s,o,x,*,*,invalid
r,e,t,a,i,n,e,r,valid
a,x,w,y,b,t,s,*,invalid
y,a,v,j,w,l,*,*,invalid
