char01,char02,char03,char04,char05,char06,char07,char08,Valid
s,t,u,c,c,o,e,d,valid
d,i,s,t,i,l, , ,valid
g,w,h,m,x,d,w, ,invalid
t,o,r,t, , , , ,valid
q,g,u,c,w,x,p, ,invalid
m,n,a,d, , , , ,invalid
s,u,i,t,e,s, , ,valid
h,i,n,d,s, , , ,valid
r,e,s,o,l,v,e, ,valid
x,u,a,n,c,f, , ,invalid
a,b,p,b,i,u,w, ,invalid
s,s,p,m,r, , , ,invalid
y,t,a, , , , , ,invalid
a,y,e, , , , , ,valid
c,p,y,p,f, , , ,invalid
k,g,c,d, , , , ,invalid
c,q,q,u,g, , , ,invalid
h,i,t,o, , , , ,valid
j,u,j,y,l, , , ,invalid
t,j,d,k,g,w, , ,invalid
e,k,d,c, , , , ,invalid
r,k,x, , , , , ,invalid
n,b,p,o, , , , ,invalid
o,m,c, , , , , ,invalid
c,e,p,l,k, , , ,invalid
o,m,t,q,l,g, , ,invalid
u,m,o,p,j,g, , ,invalid
d,q,s, , , , , ,invalid
e,h,b,v, , , , ,invalid
c,u,o,q,m, , , ,invalid
s,v,o,g, , , , ,invalid
k,n,y, , , , , ,invalid
w,a,r,d,i,n,g, ,valid
v,s,a, , , , , ,invalid
u,r,x,o,w,i, , ,invalid
h,n,e, , , , , ,invalid
e,e,k,u,v,f,i, ,invalid
s,u,d,s,i,e,r, ,valid
p,i,n,k,i,e, , ,valid
j,n,c,y,l, , , ,invalid
i,m,a,m,s, , , ,valid
c,u,e,s, , , , ,valid
q,w,t,c, , , , ,invalid
b,r,g,i,b, , , ,invalid
c,f,k,h, , , , ,invalid
f,a,l,l,s, , , ,valid
i,x,l,j,q, , , ,invalid
i,x,p, , , , , ,invalid
p,o,u,n,c,e,d, ,valid
e,k,l,u, , , , ,invalid
p,e,r,k,i,e,r, ,valid
n,t,k, , , , , ,invalid
d,w,v,r,l,o,u, ,invalid
b,a,n,d,i,t,r,y,valid
a,i,l, , , , , ,invalid
j,e,q,u, , , , ,invalid
c,n,o,h,j, , , ,invalid
o,r,u, , , , , ,valid
x,d,g,b, , , , ,invalid
l,a,y,o,f,f, , ,valid
r,i,y,q,x,b, , ,invalid
m,o,p,e,d,s, , ,valid
c,r,e,w,m,a,n, ,valid
e,l,x,w,r, , , ,invalid
w,s,y,c,u,f, , ,invalid
y,o,n,f,d, , , ,invalid
y,d,g,d,g, , , ,invalid
u,u,g, , , , , ,invalid
s,a,t,g,s, , , ,invalid
b,v,y,c, , , , ,invalid
r,e,a,d,s, , , ,valid
w,m,x,f,g,d, , ,invalid
h,v,a,b,h,m,k, ,invalid
w,p,j,h, , , , ,invalid
t,u,x,s,c,m,g, ,invalid
b,i,l,k, , , , ,valid
c,h,e,f,s, , , ,valid
m,d,q,v,l,g, , ,invalid
g,q,y,w,p, , , ,invalid
c,v,g, , , , , ,invalid
e,f,w, , , , , ,invalid
i,n,v,o,i,c,e,d,valid
d,a,i,n,t,y, , ,valid
m,e,s,s,i,a,h,s,valid
w,a,x, , , , , ,valid
o,i,l,e,d, , , ,valid
o,s,a, , , , , ,invalid
x,p,o,n,m,u, , ,invalid
y,g,d,x,j,u,s, ,invalid
p,l,i,e,d, , , ,valid
s,u,r,f,e,d, , ,valid
s,t,e,e,p,l,e, ,valid
v,q,n, , , , , ,invalid
c,h,n,q,n,v, , ,invalid
c,x,f,i,u,u,e, ,invalid
p,s,h,i,x, , , ,invalid
s,p,a,m,m,e,r,s,valid
i,a,g,v,j,c, , ,invalid
p,a,t,c,h, , , ,valid
d,u,n,g,a,r,e,e,valid
m,i,n,o,r,i,n,g,valid
m,u,s,t, , , , ,valid
g,l,e,e,f,u,l, ,valid
h,e,c,k,l,e,r, ,valid
k,p,a,l,b,h,p, ,invalid
t,a,i,l,c,o,a,t,valid
d,r,u,m, , , , ,valid
d,i,s,l,o,y,a,l,valid
n,q,y,l,m, , , ,invalid
p,o,s,t,m,e,n, ,valid
e,x,c,e,s,s,e,s,valid
t,j,n,u,s,b,o, ,invalid
f,o,m,e,n,t,s, ,valid
y,q,t, , , , , ,invalid
m,a,x,i,n,g, , ,valid
d,q,v, , , , , ,invalid
y,t,k,l,j,x,v, ,invalid
e,t,c,s,p, , , ,invalid
q,u,k,n,d,f, , ,invalid
r,e,p,l,a,c,e,d,valid
p,i,l,i,n,g,s, ,valid
t,a,r,i,f,f, , ,valid
t,i,n,s, , , , ,valid
b,i,p,m, , , , ,invalid
s,e,e,i,n,g,s, ,valid
w,g,g,b,k,u,x, ,invalid
l,g,r,e,k,g, , ,invalid
q,x,u,x, , , , ,invalid
