char01,char02,char03,char04,char05,char06,char07,char08,prediction
v,f,t,*,*,*,*,*,invalid
f,y,u,t,*,*,*,*,invalid
g,l,e,a,n,i,n,g,valid
a,l,l,o,v,e,r,*,valid
c,r,u,s,t,y,*,*,valid
c,m,h,x,a,m,*,*,invalid
j,u,e,h,c,*,*,*,invalid
n,h,g,r,m,k,l,*,invalid
w,o,s,*,*,*,*,*,invalid
f,m,h,a,*,*,*,*,invalid
e,m,p,t,y,i,n,g,valid
r,l,n,o,t,d,i,*,invalid
d,c,k,e,a,u,k,*,invalid
r,g,o,e,*,*,*,*,invalid
v,s,p,*,*,*,*,*,invalid
o,e,c,i,n,a,q,*,invalid
e,a,t,c,p,h,*,*,invalid
m,d,t,q,a,*,*,*,invalid
l,e,a,p,*,*,*,*,valid
r,a,p,a,c,i,t,y,valid
w,m,a,*,*,*,*,*,invalid
x,l,d,*,*,*,*,*,invalid
b,o,o,b,s,*,*,*,valid
t,r,r,*,*,*,*,*,invalid
n,i,h,m,*,*,*,*,invalid
s,l,o,t,s,*,*,*,valid
b,x,g,k,*,*,*,*,invalid
o,i,e,n,*,*,*,*,invalid
c,a,n,a,r,d,*,*,valid
y,o,m,p,q,f,*,*,invalid
t,j,f,b,*,*,*,*,invalid
g,t,w,e,m,a,l,*,invalid
c,e,o,s,b,s,*,*,invalid
a,k,a,v,r,b,t,*,invalid
o,r,a,n,g,e,*,*,valid
u,e,e,n,*,*,*,*,invalid
y,a,x,i,*,*,*,*,invalid
n,k,w,g,e,*,*,*,invalid
e,q,e,c,n,j,h,*,invalid
k,l,c,f,y,*,*,*,invalid
l,i,m,e,*,*,*,*,valid
h,a,r,a,s,s,e,s,valid
m,u,t,a,t,e,*,*,valid
a,x,r,t,i,*,*,*,invalid
a,c,i,d,s,*,*,*,valid
l,f,k,f,u,*,*,*,invalid
k,a,t,y,q,p,*,*,invalid
x,n,b,n,l,o,*,*,invalid
u,i,f,h,*,*,*,*,invalid
q,y,a,*,*,*,*,*,invalid
p,o,p,l,a,r,s,*,valid
p,e,a,r,l,i,e,r,valid
c,o,p,i,e,s,*,*,valid
l,r,b,s,l,*,*,*,invalid
q,m,d,*,*,*,*,*,invalid
t,q,k,o,d,y,*,*,invalid
h,h,l,*,*,*,*,*,invalid
h,f,p,x,y,e,*,*,invalid
j,b,j,y,k,y,*,*,invalid
o,a,s,i,s,*,*,*,valid
s,j,e,*,*,*,*,*,invalid
v,e,s,b,k,o,t,*,invalid
l,u,n,g,s,*,*,*,valid
m,a,r,b,l,e,s,*,valid
t,o,p,a,m,*,*,*,invalid
h,h,q,l,w,y,*,*,invalid
w,c,q,v,d,t,*,*,invalid
h,h,v,h,*,*,*,*,invalid
i,j,l,j,s,i,*,*,invalid
a,s,p,i,r,i,n,g,valid
g,f,o,d,k,l,*,*,invalid
